CODE_UNIT,DATE,AMOUNT,HM_CALC,CONSUMPTION,HM_HRS,PRODUCTION_OB,CONSUMPTION_CALC,CONSUMPTION_HRS
EX41,2022-07-19,2447.0,16.0,164.08333333333337,5.0,2728.0,152.9375,489.4
EX41,2022-07-20,2375.0,23.0,108.04924242424244,10.0,5092.5,103.26086956521739,237.5
EX41,2022-07-21,2282.0,21.0,112.88636363636363,13.0,5860.5,108.66666666666667,175.53846153846155
EX41,2022-07-22,2643.0,21.0,123.9909090909091,14.0,6096.0,125.85714285714286,188.78571428571428
EX41,2022-07-23,2586.0,23.0,112.28787878787881,19.0,9442.5,112.43478260869566,136.10526315789474
EX41,2022-07-24,2497.0,22.0,109.5909090909091,,,113.5,
EX41,2022-07-25,2448.0,22.0,109.0909090909091,21.0,9874.5,111.27272727272727,116.57142857142857
EX41,2022-07-26,1945.0,17.0,135.76428571428568,14.0,6133.5,114.41176470588235,138.92857142857142
EX41,2022-07-27,2556.0,22.0,110.6363636363636,13.0,5046.0,116.18181818181819,196.6153846153846
EX41,2022-07-28,2492.0,22.0,111.45454545454545,17.0,7569.0,113.27272727272727,146.58823529411765
EX41,2022-07-29,2106.0,18.0,89.4125,15.0,6873.0,117.0,140.4
EX41,2022-07-30,1411.0,13.0,77.59523809523813,21.0,9614.0,108.53846153846153,67.19047619047619
EX41,2022-07-31,1565.0,13.0,359.1136363636364,18.0,9104.5,120.38461538461539,86.94444444444444
EX41,2022-08-01,2315.0,21.0,107.36363636363635,20.5,9321.0,110.23809523809524,112.92682926829268
EX41,2022-08-02,2106.0,19.0,120.57777777777774,16.0,7724.0,110.84210526315789,131.625
EX41,2022-08-03,1958.0,18.0,129.29220779220782,22.0,10484.0,108.77777777777777,89.0
EX41,2022-08-04,0.0,15.0,88.6,18.0,7769.0,0.0,0.0
EX41,2022-08-05,2333.0,9.0,119.7777777777778,16.0,7153.0,259.22222222222223,145.8125
EX41,2022-08-06,2326.0,20.0,121.75,7.0,2252.0,116.3,332.2857142857143
EX41,2022-08-07,2434.0,22.0,111.22727272727275,19.0,10062.0,110.63636363636364,128.10526315789474
EX41,2022-08-08,2483.0,22.0,111.72727272727269,7.0,2236.0,112.86363636363636,354.7142857142857
EX41,2022-08-09,2344.0,22.0,102.72727272727275,18.0,8955.0,106.54545454545455,130.22222222222223
EX41,2022-08-10,1435.0,14.0,154.325,21.0,10053.0,102.5,68.33333333333333
EX41,2022-08-11,2357.0,22.0,107.95454545454545,17.0,7482.0,107.13636363636364,138.64705882352942
EX41,2022-08-12,2305.0,21.0,109.29090909090911,21.0,9589.0,109.76190476190476,109.76190476190476
EX41,2022-08-13,2013.0,18.0,122.88961038961037,15.0,6364.0,111.83333333333333,134.2
EX41,2022-08-14,2318.0,22.0,105.45454545454545,15.0,6751.0,105.36363636363636,154.53333333333333
EX41,2022-08-15,2029.0,19.0,111.28977272727272,21.0,10965.0,106.78947368421052,96.61904761904762
EX41,2022-08-16,1137.0,21.0,36.36818181818182,16.0,7740.0,54.142857142857146,71.0625
